"","end","country","load"
"6616",2018-02-06,"UK",2064048
"6617",2018-02-07,"UK",2043570
"6618",2018-02-08,"UK",1981620
"6619",2018-02-09,"UK",1990311
"6620",2018-02-10,"UK",1857757
"6621",2018-02-11,"UK",1773968
"6622",2018-02-12,"UK",2000134
"6623",2018-02-13,"UK",2018368
"6624",2018-02-14,"UK",2040338
"6625",2018-02-15,"UK",1941805
"6626",2018-02-16,"UK",1949780
"6627",2018-02-17,"UK",1776322
"6628",2018-02-18,"UK",1774101
"6629",2018-02-19,"UK",1903056
"6630",2018-02-20,"UK",1859798
"6631",2018-02-21,"UK",1957991
"6632",2018-02-22,"UK",2001884
"6633",2018-02-23,"UK",2025554
"6634",2018-02-24,"UK",1829246
"6635",2018-02-25,"UK",1833742
"6636",2018-02-26,"UK",2069510
"6637",2018-02-27,"UK",2030097
"6638",2018-02-28,"UK",2045421
"6639",2018-03-01,"UK",2170096
"6640",2018-03-02,"UK",2170239
"6641",2018-03-03,"UK",2008757
"6642",2018-03-04,"UK",1907107
"6643",2018-03-05,"UK",2020240
"6644",2018-03-06,"UK",1982854
"6645",2018-03-07,"UK",1981349
"6646",2018-03-08,"UK",1962185
"6647",2018-03-09,"UK",1946430
"6648",2018-03-10,"UK",1736328
"6649",2018-03-11,"UK",1663217
"6650",2018-03-12,"UK",1893562
"6651",2018-03-13,"UK",1902792
"6652",2018-03-14,"UK",1861813
"6653",2018-03-15,"UK",1848620
"6654",2018-03-16,"UK",1804842
"6655",2018-03-17,"UK",1806612
"6656",2018-03-18,"UK",1875747
"6657",2018-03-19,"UK",2032463
"6658",2018-03-20,"UK",2015663
"6659",2018-03-21,"UK",1909800
"6660",2018-03-22,"UK",1790923
"6661",2018-03-23,"UK",1763093
"6662",2018-03-24,"UK",1709115
"6663",2018-03-25,"UK",1627180
"6664",2018-03-26,"UK",1813208
"6665",2018-03-27,"UK",1833322
"6666",2018-03-28,"UK",1871739
"6667",2018-03-29,"UK",1855670
"6668",2018-03-30,"UK",1725905
"6669",2018-03-31,"UK",1647040
"6670",2018-04-01,"UK",1638596
"6671",2018-04-02,"UK",1681040
"6672",2018-04-03,"UK",1777867
"6673",2018-04-04,"UK",1819495
"6674",2018-04-05,"UK",1798750
"6675",2018-04-06,"UK",1733045
"6676",2018-04-07,"UK",1599348
"6677",2018-04-08,"UK",1564953
"6678",2018-04-09,"UK",1765781
"6679",2018-04-10,"UK",1815528
"6680",2018-04-11,"UK",1805146
"6681",2018-04-12,"UK",1832273
"6682",2018-04-13,"UK",1789149
"6683",2018-04-14,"UK",1599804
"6684",2018-04-15,"UK",1572674
"6685",2018-04-16,"UK",1691887
"6686",2018-04-17,"UK",1657774
"6687",2018-04-18,"UK",1653334
"6688",2018-04-19,"UK",1629638
"6689",2018-04-20,"UK",1602782
"6690",2018-04-21,"UK",1444977
"6691",2018-04-22,"UK",1405687
"6692",2018-04-23,"UK",1565247
"6693",2018-04-24,"UK",1641739
"6694",2018-04-25,"UK",1646072
"6695",2018-04-26,"UK",1621912
"6696",2018-04-27,"UK",1697438
"6697",2018-04-28,"UK",1573926
"6698",2018-04-29,"UK",1527714
"6699",2018-04-30,"UK",1724633
"6700",2018-05-01,"UK",1695597
"6701",2018-05-02,"UK",1695823
"6702",2018-05-03,"UK",1683248
"6703",2018-05-04,"UK",1630069
"6704",2018-05-05,"UK",1452862
"6705",2018-05-06,"UK",1366257
"6706",2018-05-07,"UK",1421889
"6707",2018-05-08,"UK",1604726
"6708",2018-05-09,"UK",1615298
"6709",2018-05-10,"UK",1606262
"6710",2018-05-11,"UK",1567579
"6711",2018-05-12,"UK",1494929
"6712",2018-05-13,"UK",1445256
"6713",2018-05-14,"UK",1557851
"6714",2018-05-15,"UK",1575103
"6715",2018-05-16,"UK",1553523
"6716",2018-05-17,"UK",1607249
"6717",2018-05-18,"UK",1583461
"6718",2018-05-19,"UK",1402396
"6719",2018-05-20,"UK",1375728
"6720",2018-05-21,"UK",1583817
"6721",2018-05-22,"UK",1545428
"6722",2018-05-23,"UK",1594277
"6723",2018-05-24,"UK",1624221
"6724",2018-05-25,"UK",1594665
"6725",2018-05-26,"UK",1378248
"6726",2018-05-27,"UK",1314168
"6727",2018-05-28,"UK",1378538
"6728",2018-05-29,"UK",1528747
"6729",2018-05-30,"UK",1560162
"6730",2018-05-31,"UK",1559466
"6731",2018-06-01,"UK",1560120
"6732",2018-06-02,"UK",1432435
"6733",2018-06-03,"UK",1394860
"6734",2018-06-04,"UK",1585134
"6735",2018-06-05,"UK",1566274
"6736",2018-06-06,"UK",1570322
"6737",2018-06-07,"UK",1579399
"6738",2018-06-08,"UK",1551728
"6739",2018-06-09,"UK",1392619
"6740",2018-06-10,"UK",1389421
"6741",2018-06-11,"UK",1544829
"6742",2018-06-12,"UK",1571935
"6743",2018-06-13,"UK",1543609
"6744",2018-06-14,"UK",1483600
"6745",2018-06-15,"UK",1532659
"6746",2018-06-16,"UK",1410227
"6747",2018-06-17,"UK",1369233
"6748",2018-06-18,"UK",1528747
"6749",2018-06-19,"UK",1567428
"6750",2018-06-20,"UK",1522012
"6751",2018-06-21,"UK",1496161
"6752",2018-06-22,"UK",1496195
"6753",2018-06-23,"UK",1363701
"6754",2018-06-24,"UK",1336743
"6755",2018-06-25,"UK",1547409
"6756",2018-06-26,"UK",1583383
"6757",2018-06-27,"UK",1556708
"6758",2018-06-28,"UK",1514499
"6759",2018-06-29,"UK",1531325
"6760",2018-06-30,"UK",1407480
